tag,s0,sigma0,kc,sigma8,pk_ratio_min,pk_ratio_max,pk_ratio_mean,TT_mean,phiphi_min,phiphi_max,phiphi_mean,status
scan_0,0.0,0.0,0.03,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_1,0.0,0.0,0.05,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_2,0.0,0.0,0.08,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OK
scan_3,0.0,0.03,0.03,,1.0,1.0,1.0,1.0,0.9849869627744491,0.9978969092969286,0.985992457340476,OK
scan_4,0.0,0.03,0.05,,1.0,1.0,1.0,1.0,0.9859338731827104,0.9989976687241623,0.9868772105529849,OK
scan_5,0.0,0.03,0.08,,1.0,1.0,1.0,1.0,0.986539185509263,0.9995225787365591,0.9880624460275649,OK
scan_6,0.0,0.06,0.03,,1.0,1.0,1.0,1.0,0.9701379920110211,0.9958129899203165,0.9721316302524236,OK
scan_7,0.0,0.06,0.05,,1.0,1.0,1.0,1.0,0.9720137114138081,0.998002477366056,0.9738885375680622,OK
scan_8,0.0,0.06,0.08,,1.0,1.0,1.0,1.0,0.9732127865332798,0.9990477010226131,0.9762431154655488,OK
scan_9,0.03,0.0,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.993727920934194,0.9992496477041872,0.9941461756111053,OK
scan_10,0.03,0.0,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9941120992015191,0.9996435222379936,0.9945170678926804,OK
scan_11,0.03,0.0,0.08,,0.9792629248075111,1.0000007951967096,0.9941121520984854,1.0000008380335184,0.9943567787109688,0.9998305883577121,0.9950147157526991,OK
scan_12,0.03,0.03,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.9788486941085061,0.9971598978527874,0.9802582964866339,OK
scan_13,0.03,0.03,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9801653723277461,0.9986461524319472,0.981503654304903,OK
scan_14,0.03,0.03,0.08,,0.9792629248075111,1.0000007951967096,0.9941121520984854,1.0000008380335184,0.9810062837135654,0.999354935845601,0.9831735174575967,OK
scan_15,0.03,0.06,0.03,,0.9792472538030937,1.0000056299746645,0.9907992448665696,1.0000030435701168,0.964131574269832,0.9950891056080701,0.9665155904893791,OK
scan_16,0.03,0.06,0.05,,0.9792567488884316,1.0000021768239935,0.9927207301205876,1.0000017134054129,0.9663629984049998,0.9976558501074642,0.9686229660821811,OK
scan_17,0.03,0.06,0.08,,0.9792629248075111,1.0000007951967096,0.9941121520984854,1.0000008380335184,0.9677887268533377,0.9988818055990465,0.9714493347445865,OK
scan_18,0.06,0.0,0.03,,0.9588634168370903,1.0000112597076765,0.9817295320227395,1.0000072017274872,0.9875047041212237,0.9985035051745146,0.9883364315491215,OK
scan_19,0.06,0.0,0.05,,0.9588757896173979,1.000004053622767,0.9855454122715283,1.0000047542716008,0.9882678409421981,0.999288566941525,0.9890742919048601,OK
scan_20,0.06,0.0,0.08,,0.9589060698758307,1.000001602067718,0.9883080203676886,1.0000028454635037,0.9887548368822798,0.9996617356121057,0.990065053869389,OK
scan_21,0.06,0.03,0.03,,0.9588634168370903,1.0000112597076765,0.9817295320227395,1.0000072017274872,0.9727578840790265,0.996426964757917,0.9745671080563973,OK
scan_22,0.06,0.03,0.05,,0.9588757896173979,1.000004053622767,0.9855454122715283,1.0000047542716008,0.974439349850429,0.9982961146403785,0.9761692565289759,OK
scan_23,0.06,0.03,0.08,,0.9589060698758307,1.000001602067718,0.9883080203676886,1.0000028454635037,0.9755136176509266,0.9991878387737385,0.978319341163884,OK
scan_24,0.06,0.06,0.03,,0.9588634168370903,1.0000112597076765,0.9817295320227395,1.0000072017274872,0.9581713818526656,0.9943691708459125,0.9609414315624981,OK
scan_25,0.06,0.06,0.05,,0.9588757896173979,1.000004053622767,0.9855454122715283,1.0000047542716008,0.9607536877271278,0.9973106581966803,0.9633955699947176,OK
scan_26,0.06,0.06,0.08,,0.9589060698758307,1.000001602067718,0.9883080203676886,1.0000028454635037,0.9624039267905051,0.9987164431133436,0.9666894488056078,OK
scan_27,0.09,0.0,0.03,,0.9388817495508077,1.000016889316112,0.9727895378421506,1.0000105341866081,0.9813306157689554,0.9977615503251156,0.98257037527194,OK
scan_28,0.09,0.0,0.05,,0.9389003160251461,1.000006079296793,0.9784739649278572,1.0000071639699735,0.9824670917057753,0.9989352327343581,0.9836717262265101,OK
scan_29,0.09,0.0,0.08,,0.9389334453185648,1.0000023757770962,0.9825872133619544,1.0000045530105743,0.9831932144936519,0.9994934143085075,0.9851501417864265,OK
scan_30,0.09,0.03,0.03,,0.9388817495508077,1.000016889316112,0.9727895378421506,1.0000105341866081,0.9667149002773325,0.9956980888516885,0.9689185096453857,OK
scan_31,0.09,0.03,0.05,,0.9389003160251461,1.000006079296793,0.9784739649278572,1.0000071639699735,0.9687557549090509,0.9979476530164026,0.9708740759692225,OK
scan_32,0.09,0.03,0.08,,0.9389334453185648,1.0000023757770962,0.9825872133619544,1.0000045530105743,0.9700603022967274,0.999021260217451,0.9734990630794567,OK
scan_33,0.09,0.06,0.03,,0.9388817495508077,1.000016889316112,0.9727895378421506,1.0000105341866081,0.9522577453455734,0.9936531653835043,0.9554087810676823,OK
scan_34,0.09,0.06,0.05,,0.9389003160251461,1.000006079296793,0.9784739649278572,1.0000071639699735,0.9551857442306204,0.9969669983602265,0.9582064125134536,OK
scan_35,0.09,0.06,0.08,,0.9389334453185648,1.0000023757770962,0.9825872133619544,1.0000045530105743,0.9570575139540605,0.9985515864142209,0.96196262185364,OK
